"","Typ","Namn","Address4","Address5","RT90x","RT90y","WGS84x","WGS84y"
"596","Ombud","Ica Nära Lönsboda","LÖNSBODA","Skåne län",6253147,1408324,56.3971956983896,14.3205880889048
"597","Ombud","Heberleins delikatess kött & chark","FÖRSLÖV","Skåne län",6251099,1315387,56.3516915901003,12.8186810132526
"598","Ombud","Torekov Båt & Motor","TOREKOV","Skåne län",6259527,1304031,56.4227046018297,12.6289871989286
"599","Ombud","Matöppet Everöd","EVERÖD","Skåne län",6197976,1393002,55.8987048231981,14.094732417148
"600","Ombud","Eltjänster","DEGEBERGA","Skåne län",6191083,1392652,55.8367452765023,14.0918686766201
"601","Ombud","Hemköp Tollarp","TOLLARP","Skåne län",6202107,1385579,55.934082191616,13.9743821555754
"602","Ombud","ICA Supermarket Kivik","KIVIK","Skåne län",6173924,1400475,55.6843642925839,14.2229320185377
"603","Ombud","Matöppet Vinslöv","VINSLÖV","Skåne län",6221085,1382477,56.10368869566,13.9164728430656
"604","Ombud","Vittsjö Blomsterhandel","VITTSJÖ","Skåne län",6248044,1367630,56.3417586549069,13.6645772411438
"605","Ombud","Ica Supermarket Bjärnum","BJÄRNUM","Skåne län",6242365.34,1370257.985,56.2915206098789,13.70983934151
"606","Ombud","Ica Nära Toppen","SÖSDALA","Skåne län",6213991.883,1367459.071,56.0361005974987,13.6787992530223
"607","Ombud","Ica Nära Matlusten","TYRINGE","Skåne län",6271302.962,1397661,56.5579905877729,14.1408594683957
"608","Ombud","ICA Supermarket Skanör","SKANÖR","Skåne län",6146475,1312460,55.4121513960079,12.8438059285974
"609","Ombud","ICA Nära Röstånga","RÖSTÅNGA","Skåne län",6211169,1343087,56.0034143454124,13.2898202780153
"610","Ombud","Möllebackens Livs Ven","Malmö","Skåne län",6202411.779,1305295.113,55.9110407230385,12.6912190704797
"611","Ombud","Ica Nära Harlösa","HARLÖSA","Skåne län",6178733,1356903,55.7166409432435,13.5281985902678
"612","Ombud","Handlarn i Löderup","LÖDERUP","Skåne län",6146886,1392877,55.4400004410317,14.1126676571832
"613","Ombud","Coop Nära Smygehamn","SMYGEHAMN","Skåne län",6137026,1344388,55.3385228040163,13.3526689687922
"614","Ombud","Ica Nära Arkelstorp","ARKELSTORP","Skåne län",6228219,1405437,56.172831168775,14.2827802249164
"615","Ombud","Matöppet Simlångsdalen","SIMLÅNGSDALEN","Hallands län",6291229,1335825,56.7192123960335,13.1235383556421
"616","Ombud","Ica Nära Oskarström","OSKARSTRÖM","Hallands län",6300822,1327137,56.8021210554673,12.975344503431
"617","Ombud","Eliassons Kiosk & Spel","GETINGE","Hallands län",6303194.893,1312358.09,56.8176807340834,12.7320395047064
"618","Ombud","AB Våxtorps Bilservice","VÅXTORP","Hallands län",6257799,1334163,56.4187416024993,13.1177967465498
"619","Ombud","Ica Nära Hishult","HISHULT","Hallands län",6258477,1345906,56.4288002933063,13.3074848723332
"620","Ombud","Konsum Knäred","KNÄRED","Hallands län",6268532,1346604,56.5192421562742,13.3128766770222
"621","Ombud","ICA Vessige","VESSIGEBRO","Hallands län",6321268,1308234,56.9780515025376,12.6509642347491
"622","Ombud","Fegenkiosken","FEGEN","Hallands län",6334479.716,1332297.195,57.1059006826325,13.0373995993668
"623","Ombud","ICA Supermarket Ullared","ULLARED","Hallands län",6338776.416,1313012.015,57.1370007210597,12.7163996295558
"624","Ombud","Handlarn Skällinge","Skällinge","Hallands län",6344577.354,1298258.604,57.1827687376861,12.4684566638178
"625","Ombud","Hemköp Veddige","VEDDIGE","Hallands län",6354334,1290598,57.2667886757004,12.3337950443953
"626","Ombud","Ica Nära Bua","BUA","Hallands län",6351601.478,1277885.138,57.2363107759848,12.1259697112132
"627","Ombud","Källö-Knippla, Coop Konsum","KÄLLÖ-KNIPPLA","Västra Götalands län",6410350,1252764,57.7495944430217,11.651579912333
"628","Ombud","Åstol Handelsbod","ÅSTOL","Västra Götalands län",6429893,1250138,57.9231382835276,11.5871576505955
"629","Ombud","Ica Nära Dyröboden","DYRÖN","Västra Götalands län",6430219.501,1251623.12,57.9268907132018,11.6118100518839
"630","Ombud","Tempo Mollösund","MOLLÖSUND","Västra Götalands län",6446956,1244346,58.0726211357276,11.4712392653673
"631","Ombud","Käringöns Matbutik","KÄRINGÖN","Västra Götalands län",6451976.924,1238247.448,58.1140106881925,11.3626101680484
"632","Ombud","Tempo Gullholmen","GULLHOLMEN","Västra Götalands län",6458936,1241088,58.1779752279726,11.4029580800871
"633","Ombud","Konsum Klippan","BOHUS-MALMÖN","Västra Götalands län",6478260.378,1238632.568,58.3495006297603,11.3396002520191
"634","Ombud","Ica Nära Bovall","BOVALLSTRAND","Västra Götalands län",6492372,1238568,58.4757673121857,11.3224519385001
"635","Ombud","Sörbygdens Snabbköp","HEDEKAS","Västra Götalands län",6509448.089,1266282.406,58.6444005284578,11.7787002120835
"636","Ombud","Tanumshede Järn och Färg AB","TANUMSHEDE","Västra Götalands län",6519982,1240661,58.7241327335609,11.3266673014802
"637","Ombud","Tempo Resö","RESÖ","Västra Götalands län",6529395,1231942,58.8030476102369,11.1654189920764
"638","Ombud","Ica Nära Grundsund","GRUNDSUND","Västra Götalands län",6462759.736,1242248.168,58.2128826585791,11.4183922782449
"639","Ombud","Coop Konsum Fjällbacka","FJÄLLBACKA","Västra Götalands län",6506090,1237555,58.597934137001,11.2893504786072
"640","Ombud","Ica Supermarket Skutan","HAMBURGSUND","Västra Götalands län",6501060,1236152,58.5520695624083,11.2711333483659
"641","Ombud","Nössemarks Lanthandel Handlarn","ED","Västra Götalands län",6563976,1272990,59.1363086115473,11.8383009915843
"642","Ombud","Coop Konsum Mustadfors","DALS LÅNGED","Västra Götalands län",6538496.611,1298835.221,58.9210104365175,12.3121501334979
"643","Ombud","Coop Konsum Styrsö","Västra Frölunda","Västra Götalands län",6394988,1259601,57.6157125662406,11.7814169669752
"644","Ombud","Affären på Asperö","Västra Frölunda","Västra Götalands län",6398655.156,1260639.772,57.6491107471942,11.79512991419
"645","Ombud","Coop Nära Marstrand","MARSTRAND","Västra Götalands län",6425873,1250016,57.8870740958758,11.5893303968769
